Algorithm,MNIST
SC,1196.0
Manifold + X,840.0
Manifold + X Average,356.0
Manifold + X Kernel,358.0
Manifold Average + X,992.0
Manifold Average + X Average,565.0
Manifold Average + X Kernel,578.0
Manifold Kernel + X,999.0
Manifold Kernel + X Average,556.0
Manifold Kernel + X Kernel,571.0
Lasso: Manifold + X,843.0
Lasso: Manifold + X Average,369.0
Lasso: Manifold + X Kernel,360.0
Lasso: Manifold Average + X,991.0
Lasso: Manifold Average + X Average,562.0
Lasso: Manifold Average + X Kernel,579.0
Lasso: Manifold Kernel + X,996.0
Lasso: Manifold Kernel + X Average,557.0
Lasso: Manifold Kernel + X Kernel,573.0
